18300
State{positions=[0, 4, 1, 5, 2, 6, 3, 7], cost = 8}
State{positions=[4, 13, 1, 5, 2, 6, 3, 7], cost = 6000}
State{positions=[4, 13, 1, 5, 2, 6, 7, 10], cost = 3000}
State{positions=[4, 13, 1, 5, 2, 6, 10, 12], cost = 200}
State{positions=[4, 13, 1, 5, 6, 11, 10, 12], cost = 4}
State{positions=[8, 13, 1, 5, 6, 11, 10, 12], cost = 3000}
State{positions=[8, 13, 1, 5, 6, 11, 4, 12], cost = 400}
State{positions=[8, 13, 1, 5, 0, 6, 4, 12], cost = 40}
State{positions=[8, 13, 5, 9, 0, 6, 4, 12], cost = 30}
State{positions=[8, 13, 9, 10, 0, 6, 4, 12], cost = 5000}
State{positions=[8, 13, 9, 10, 0, 6, 4, 5], cost = 300}
State{positions=[8, 13, 9, 10, 0, 12, 4, 5], cost = 50}
State{positions=[8, 13, 6, 9, 0, 12, 4, 5], cost = 60}
State{positions=[8, 13, 2, 6, 0, 12, 4, 5], cost = 5}
State{positions=[1, 13, 2, 6, 0, 12, 4, 5], cost = 3}
State{positions=[1, 7, 2, 6, 0, 12, 4, 5], cost = 200}
State{positions=[1, 7, 2, 6, 0, 3, 4, 5], cost = 0}

