on x=-31..18,y=-8..36,z=-8..37
on x=-49..-5,y=-12..39,z=-38..10
on x=-46..3,y=-46..8,z=1..45
on x=-37..7,y=-35..16,z=-43..5
on x=-32..17,y=-4..40,z=-37..9
on x=-34..20,y=-28..20,z=-49..-3
on x=-40..6,y=-10..34,z=-44..7
on x=-26..18,y=-40..11,z=-15..36
on x=-49..2,y=-45..5,z=-9..41
on x=-19..29,y=-38..7,z=-29..15
off x=-12..1,y=-7..11,z=-40..-22
on x=-14..35,y=-42..9,z=-28..18
off x=11..28,y=26..41,z=-31..-20
on x=-46..4,y=-29..22,z=1..45
off x=5..23,y=13..24,z=11..30
on x=-12..42,y=-46..3,z=-41..5
off x=33..47,y=-45..-34,z=-7..3
on x=-31..23,y=-23..30,z=-13..38
off x=-23..-11,y=-17..0,z=-40..-26
on x=-5..39,y=-30..19,z=-30..21
on x=-27676..-3484,y=-62577..-49908,z=51261..72898
on x=-469..7927,y=16882..49111,z=-75668..-56452
on x=-23827..-20412,y=37945..62641,z=55684..80513
on x=3126..21165,y=74861..94438,z=-18365..5625
on x=38826..67159,y=-7396..21840,z=-77886..-52652
on x=-23815..-5209,y=28531..49933,z=-78434..-55611
on x=-53061..-22787,y=70603..81926,z=-5172..-1501
on x=-66053..-28732,y=-50445..-47523,z=27718..62621
on x=11883..19784,y=63885..82940,z=-49424..-28297
on x=53334..74752,y=-31027..-20886,z=16323..24607
on x=44305..67144,y=-13098..15162,z=41992..60252
on x=7723..32483,y=-1852..11592,z=-88142..-56131
on x=2922..16883,y=-72542..-52751,z=-66436..-38504
on x=-82983..-47488,y=19509..38902,z=-42298..-31088
on x=33331..51221,y=26389..56247,z=50732..73314
on x=9015..36322,y=6722..33769,z=-86361..-54338
on x=25523..45554,y=54512..77853,z=-38886..-17578
on x=-28979..-18116,y=-52522..-40398,z=-76353..-50096
on x=-61173..-37484,y=43788..70953,z=-507..36225
on x=-21400..9762,y=11397..24257,z=75526..77958
