LRLRLRRLRRRLRRRLRRRLRLRRRLRRRLRRRLLRLRRRLRLRRRLLRRRLRRLRRRLRRLRLRRRLRRRLRLRRLRRRLRRLRRRLRRLRLRRLRRRLRLRRLRRRLLRRRLRLRRLLLRLLRLRRLLRRRLLRLLRRLRLRRRLLLRLRRLRLRRLRRRLRRLLRRLLRLRRRLRRRLRLLLLRLLRLRLRLRRRLRRLRRLRLRRRLLRRLRLLRRLRLRRLRLRLRRLRRLLRLRRLLRLLRRRLLLRRRLRRLRLRRRLRRLRRRLRRLLLRRRR

QKX = (SQD, XTJ)
FKP = (JGJ, JPR)
VCQ = (XGB, SSS)
JSK = (LSQ, FFS)
LGF = (THC, RQQ)
HSQ = (TBN, XTK)
BGB = (CPJ, KVD)
DJD = (VBL, MKB)
XTJ = (TRB, TJN)
SNX = (KJN, SBX)
BMD = (BJH, XKX)
PRV = (BCM, MJT)
DNK = (FFS, LSQ)
FNR = (BMF, GFC)
SLS = (SQJ, DBC)
VBS = (NVV, KXT)
FTF = (JMM, LHK)
GTH = (BGR, HTH)
DJL = (KDH, QRQ)
JKN = (SVX, HTB)
KBR = (JSK, DNK)
KQF = (MSK, NSG)
FRX = (PXS, KBM)
SQC = (SRH, CFG)
PCV = (JPB, RHQ)
TND = (KLP, JLN)
DGQ = (DBL, CFH)
KQB = (VSG, DLB)
SMN = (DGL, KLT)
VTM = (GNQ, LSN)
RKJ = (RKK, FDK)
GPT = (NGQ, KCG)
BVQ = (RCF, QHP)
LHH = (HKF, VQC)
BPC = (KLP, JLN)
LDT = (RST, BMN)
TPN = (DLB, VSG)
JDX = (LTK, MTB)
GSB = (JBN, VHT)
MKB = (VCT, TMP)
BMN = (FDD, SSH)
CKX = (HMK, CHH)
LSV = (XKP, HNB)
QGN = (LQC, LVF)
BXB = (KPM, NFR)
PGL = (KXD, JVR)
CTS = (VTB, XFM)
BQM = (KLK, LVQ)
CHP = (KNF, GGX)
HBQ = (FHV, NBM)
BNT = (NGQ, KCG)
XSJ = (RDG, VNN)
STT = (KPB, PQV)
GMH = (DDN, MCB)
GRV = (GJQ, JMG)
DJB = (VSK, MSC)
PHQ = (LKF, TLK)
DGH = (VNG, GGP)
DHT = (HSQ, THB)
XJV = (VTM, JGC)
LGV = (HXV, JDL)
LNJ = (BNT, GPT)
RTV = (MKB, VBL)
RQQ = (DJL, BSC)
JDL = (LJT, HTF)
HST = (MSL, TCL)
TGG = (VSP, MNJ)
FFX = (KCF, CTQ)
VCT = (RMX, SVM)
SQD = (TJN, TRB)
FRN = (TGL, NFL)
MFL = (KLT, DGL)
GMG = (NLM, HXM)
NGB = (TFV, TXN)
CRK = (TND, BPC)
PGN = (RGD, NNK)
PRQ = (FLM, XGJ)
MXH = (SNM, JKM)
KLT = (MPS, XJV)
LJV = (KLK, LVQ)
CKS = (THB, HSQ)
DBF = (RHQ, JPB)
HSX = (PPC, FCR)
DSB = (CJV, BBG)
BSC = (QRQ, KDH)
CDG = (SLS, RXH)
DCJ = (KNR, VSX)
BFF = (KNF, GGX)
CRP = (MVK, NLT)
NNK = (NMP, GCR)
JBG = (MLP, BND)
MRQ = (XVQ, XVQ)
QJS = (QNG, QXX)
GBH = (JDQ, CQG)
QGM = (FTF, SDJ)
THS = (GFF, CTS)
PGJ = (JFX, BDV)
NLT = (BCK, JDX)
JMT = (MQT, SFJ)
JST = (PVC, TXB)
JHJ = (FGC, KGK)
DGG = (GMB, NJR)
VLM = (FQN, VHV)
CHH = (FQB, HSK)
TMP = (RMX, SVM)
QRQ = (LHH, BVN)
NBM = (DJC, TKB)
KGF = (DJP, CMM)
JVG = (LGS, RVP)
LKC = (VLG, TBC)
VQD = (XTJ, SQD)
CQB = (CHH, HMK)
XTK = (HJB, DVJ)
FLM = (TNP, GMG)
VPC = (QMC, NBG)
CGP = (KHF, CMS)
KBM = (TCP, DRV)
XFC = (CQH, KCK)
JVR = (XNG, SVK)
LBT = (CJP, PGJ)
JSF = (QJS, CRR)
VPS = (TGN, CJG)
KLG = (SNM, JKM)
XGL = (GGK, QQT)
HKG = (NFD, CCP)
PVN = (CRK, MRD)
RLT = (TMS, PRV)
HCB = (CDH, XSL)
MFX = (LTN, GMS)
QNZ = (QVP, XGL)
HTH = (BFR, MVX)
XGJ = (TNP, GMG)
DGJ = (QJS, CRR)
VGS = (NGB, BRK)
RKB = (GLL, CRS)
DBL = (MPB, GKD)
XNJ = (CBF, KRG)
JBN = (FFX, VLD)
CBD = (KHV, HCL)
QTM = (DGG, DDB)
DDB = (GMB, NJR)
HHF = (PGL, HXJ)
VXH = (CFK, NTC)
SRH = (NGC, MMP)
JMG = (BCR, GSN)
LBJ = (BGR, HTH)
QMC = (JBH, KBR)
KHF = (BTJ, DMS)
JPB = (BLP, DRK)
PQD = (PRV, TMS)
KXJ = (XMC, PDX)
KGC = (RGN, JVJ)
KTX = (KTT, GBH)
SFB = (TDX, JMT)
TXN = (PHP, CTJ)
FNN = (FKB, JNG)
KFM = (FLD, JTN)
QCP = (JTH, RHP)
CBT = (JMX, CRP)
RGB = (BMF, GFC)
PPL = (KXT, NVV)
MQT = (XPK, JBG)
VPH = (XMP, LNT)
LNP = (KXJ, VRJ)
XPK = (MLP, BND)
LTD = (RHF, LSV)
JFV = (PRP, DXS)
VRM = (RTX, BTX)
