101,103
p=8,15 v=12,-27
p=58,24 v=91,-30
p=63,33 v=-60,-5
p=41,53 v=42,79
p=84,100 v=-15,7
p=19,45 v=-17,-25
p=49,46 v=14,57
p=46,5 v=-73,-32
p=66,41 v=18,56
p=83,61 v=18,-63
p=53,26 v=-14,37
p=40,73 v=51,2
p=0,70 v=81,-16
p=93,9 v=44,91
p=48,18 v=-94,61
p=70,96 v=-65,-15
p=22,16 v=23,-41
p=92,18 v=55,96
p=72,95 v=91,92
p=31,47 v=5,-47
p=74,39 v=-88,57
p=30,99 v=28,-36
p=18,23 v=61,-73
p=58,40 v=-60,-65
p=66,3 v=18,13
p=89,52 v=-59,-39
p=73,99 v=32,66
p=50,48 v=37,37
p=90,74 v=95,-40
p=28,68 v=38,-64
p=91,19 v=-84,91
p=26,6 v=-35,-38
p=71,22 v=-6,-90
p=2,2 v=66,-35
p=86,15 v=-66,-52
p=48,19 v=-68,91
p=78,47 v=-73,-51
p=23,88 v=-13,-18
p=94,77 v=-11,-38
p=35,23 v=-96,30
p=0,85 v=67,-98
p=89,95 v=-31,-70
p=67,43 v=-97,36
p=95,36 v=4,65
p=11,70 v=-57,-99
p=4,40 v=9,-67
p=66,95 v=-51,-55
p=25,47 v=11,-27
p=98,26 v=-29,-66
p=14,49 v=-56,-8
p=97,52 v=-99,60
p=100,57 v=76,60
p=64,6 v=-5,-52
p=43,12 v=-46,-34
p=8,66 v=37,-22
p=2,47 v=76,-3
p=83,22 v=-56,53
p=57,98 v=-10,-20
p=84,59 v=-19,-81
p=55,58 v=-78,-44
p=32,45 v=56,39
p=33,95 v=93,47
p=21,39 v=-49,-67
p=71,82 v=73,-96
p=46,23 v=51,-80
p=73,93 v=91,46
p=90,40 v=-80,35
p=22,62 v=35,-90
p=28,36 v=98,9
p=95,3 v=12,70
p=75,0 v=68,-56
p=1,96 v=68,-18
p=64,62 v=-14,-21
p=2,14 v=12,16
p=11,51 v=-11,-71
p=4,33 v=-91,64
p=1,77 v=-34,2
p=72,70 v=-51,63
p=75,10 v=-48,-18
p=67,98 v=-65,-13
p=57,14 v=78,12
p=51,47 v=23,-85
p=97,78 v=-92,-51
p=85,65 v=-43,-63
p=30,30 v=29,-24
p=30,22 v=93,32
p=6,78 v=-62,-16
p=26,91 v=47,46
p=16,15 v=29,-10
p=64,40 v=62,-74
p=55,74 v=42,-36
p=95,6 v=12,90
p=8,25 v=-39,-28
p=54,72 v=78,-18
p=22,63 v=95,1
p=26,54 v=43,38
p=41,62 v=-20,83
p=98,56 v=21,-86
p=82,94 v=31,88
p=97,102 v=-15,-16
p=15,76 v=53,1
p=88,88 v=7,-54
p=66,3 v=-42,-73
p=77,83 v=-98,-34
p=69,74 v=-74,-80
p=50,66 v=-87,43
p=24,68 v=-58,20
